Мощность напряжение и ток анода рентгеновских трубок в современных КТсистемах,4
Как зависит выход рентгеновского излучения от атомного номера мишени,2
Вследствие чего возникают артефакты,4
Принцип работы компьютерных томографов второго поколения время построения изображения примерытомограсров,4
Где располагаются коллиматоры источника и для чего,4
Как преобразуется энергия электронов при взаимодействии с веществом анода,4
Впервые задачу реконструкции изображения рассмотрел в 1917 г,1
Принцип алгоритма 360ной интерполяции,3
Какая математическая задача ставится в томографии,1
с помощью чего придается форма пучку рентгеновских,1
Как конструкции рентгеновских трубок отличаются в зависимости от способа охлаждения анода,2
Когда появились компьютерные томографы пятого поколения принцип их работы время построенияизображения новые возможности,4
Как формируется проекция изображения,1
Как происходит охлаждение в трубках с вращающимся анодом,3
Кто и когда практически обосновал возможность рентгеновской томографии,1
Напишите математическую формулировку теоремы о центральном сечении,2
Когда разработан первый отечественный рентгеновский томограф,3
Принцип работы компьютерных томографов четвертого поколения время построения изображения,3
Сформулируйте теорему о центральном сечении,3
Одна из главных проблем возникающих при решении математических задач томографии,1
Преимущества многосрезовых КТсканеров,3
Перечислите основные характеристики детекторов используемых в КТ,2
Каковы преимуществами КТ по сравнению с традиционной рентгенографией,1
Кто и когда впервые рассмотрел задачу реконструкции рентгеновского изображения,3
от чего зависит качество томограсрических изображе,4
Какие эферекты определяют изменение энергии рентгеновских фотонов при прохождении биологическойткани,3
Назовите недостатки люминесцентных детекторов,3
В каких единицах измерения даются выходные данные Ктсканера,2
Какие детекторы рентгеновского излучения используются в компьютерных томографах,2
Какие алгоритмы используются при реконструкции изображений в спиральной КТ и что они позволяют,1
В чем суть алгоритма 7фильтрации или алгоритма реконструкции с переменной толщиной среза,4
В чем преимущество метода винтового сканирования,1
Основой работы любого Ктсканера является,2
В чем суть всех видов томографии,3
Принцип алгоритма 180ной интерполяции,2
Первая вполне качественная томограмма головного мозга человека была впервые получена,3
В чем заключается идея радиационной рентгеновской компьютерной томографии КТ,3
Укажите основные стадии пошаговой КТ,1
Кто и когда предложил метод компьютерной томографии,4
Какие свойства детектора отражает характеристика динамический диапазон,2
Какие функции выполняет компьютер,3
Для чего используется консоль управления столом пациента и генри,3
Когда появились компьютерные томографы третьего поколения принцип их работы время построенияизобранения,4
Способ охлаждения и недостаток трубок со стационарным анодом,1
Какова роль стеклянного корпуса рентгеновской трубки,2
Каково графическое разрешение изображения первого коммерческого сканера головного мозга,4
Принцип работы многосрезовых КТсканеров,3
Происхождение и значение термина томография,2
Какие свойства детектора отражает характеристика эффективность,1
Для чего используются фильтры из какого материала они сделаны,1
Какой диапазон изменения плотности исследуемых тканей позволяет различать компьютерная обработкаКТ изображения,4
В чем особенность метода винтового сканирования,4
Принцип работы газовых детекторов,1
Компьютерные томограсры первого поколения принцип их работы и время построения изображения,3
Какие требования предъявляются к материалу анода,4
Какие блоки расположены внутри генри томографа,4
Любое несоответствие между КТчислами реконструированного изображения и и истиннымикоэффициентами ослабления материалом объекта называют,2
Сколько рядов детекторов имеют современные многосрезовые КТсканеры,3
Для чего используется высоковольтный трехфазный генератор,3
Для чего используются несколько рядов детекторов в многосрезовых КТсканерах,4
Как определяется питч рисп при многосрезовом сканировании,4
Природа рентгеновского излучения,2
Какую форму имеет пучок рентгеновских лучей в компьютерном томографе,4
Какие свойства детектора отражает характеристика время ответа,1
Как найти коэффициенты поглощения для каждого воксела необходимые для реконструкции изображения,1
Когда разработан первый отечественный медицинский рентгеновский томограф,2
Когда появились первые многослойные КТсканеры,2
Кто и когда разработал первый коммерческий сканер головного мозга,3
Какие основные блоки входят в состав любого КТсканера,2
Какой вид томограсрии категорически запрещен для лиц с кардиостимуляторами,3
Как производится оценка полученных вдоль выбранной траектории данных,2
Чем отличаются различные алгоритмы восстановления,4
