На рисунке изображен гентри ПЭТсканера А ВСэто открыть рисунок 1ез1 ре И92РС,3
Чаще всего используемый сцинтиллятор в ПЭТ,3
Особые вещества обладающие способностью излучать свет при поглощении ионизирующего излучениятакого как например гаммакванты,2
Отношение энергии световой вспышки к энергии потерянной заряженной частицей в сцинтилляторезависящее от типа и качества сцинтиллятора называется,2
Метод томографии при котором восстановление производится путём обратного проектирования каждойпроекции через плоскость называется,4
На сегодняшний день в ПЭТ в основном применяются позитронизлучающие изотопы элементов второгопериода периодической системы,2
К Аналитическим методам относятся,2
Один из первых эффективных РЕТтомографов был создан Мке Рнерз Ед Нойглап атотоп Цпмегейу дляизучения кровотока и метаболизмау животных,1
Основы позитронноэмиссионной томографии заложили работы,2
Кинетическая методика с применением меченных радиоактивными изотопами веществ является основным ифундаментальным принципом лежащим в основе,4
Процесс использования ПЭТизображений распределения радиоактивности для последующегокинетического моделирования с целью получения необходимой информации называется,3
Период полураспада используемых радиоактивных веществ при ПЭТ,3
Схема движения частиц в циклотроне открыть рисунок 1е5 рей 191 Р,4
В РЕТанализе можно выделить последовательно стадии,3
Процесс люминесценции может осуществляться если,2
Как называется процесс при котором переход из возбужденного состояния в основное запрещен ивозникает метастабильное состояние среднее время жизни которого может быт,4
Первый прототип ПЭТ сканера появился в,3
К неорганическим кристаллам относятся,1
Измерение концентрации метки в ткани необходимое для математической модели производится,3
Флуоресценция это,2
Основные методы ПЭТ,2
К какому методу сканирования относится измерение накопления метки по времени,4
Позитроны  это,3
Метод вычислительной томографии в основе которого используется аппарат преобразования Фурье ипреобразования Радона,3
К Итерационным методам восстановления изображения относятся,3
В 1977 году предложил измерять локальный уровень метаболического потребления глюкозы в мозгу крыс спомощью дезоксиглюкозы меченой радиоактивным изотопом углерода,4
ПЭТ стал использоваться для динамических исследований метаболизма человека,2
Метод функциональной визуализации заключающийся во введении в организм радиоактивных изотопов иполучении изображения путём определения испускаемого ими излучения,1
Развивающийся трехмерный визуализирующий диагностический и исследовательский метод ядерноймедицины,4
Люминесценцияэто,1
Когда томограф регистрирует локализацию изотопа и вычисляет его концентрацию,1
Комбинацией двух изобретений представленных к Нобелевской премии  радиоактивного индикатора ипринципов томографии является методика отображения,1
система производства радисизотопов состоит,1
Сцинтиллирующие вещества делятся на,4
Доза радиации при позитронноэмиссионной томографии,1
Геометрический смысл преобразования Радона,2
Метод вычислительной томографии использующий аппроксимацию восстанавливаемого объекта,1
На развитие технологии ПЭТ повлияли факторы,4
Визуализация процессов т Ммо реализуется путем,1
Основными характеристиками сцинтилляторов являются,4
